CLIENTNUM,Total_Relationship_Count,Total_Revolving_Bal,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1
768805383,5,777,1.335,1144,42,1.625
818770008,6,864,1.541,1291,33,3.714
713982108,4,0,2.594,1887,20,2.333
769911858,3,2517,1.405,1171,20,2.333
709106358,5,0,2.175,816,28,2.5
713061558,3,1247,1.376,1088,24,0.846
810347208,6,2264,1.975,1330,31,0.722
818906208,2,1396,2.204,1538,36,0.714
710930508,5,2517,3.355,1350,24,1.182
719661558,6,1677,1.524,1441,32,0.882
708790833,5,1467,0.831,1201,42,0.68
710821833,6,1587,1.433,1314,26,1.364
710599683,3,0,3.397,1539,17,3.25
816082233,5,1666,1.163,1311,33,2.0
712396908,5,680,1.19,1570,29,0.611
714885258,5,972,1.707,1348,27,1.7
709967358,6,2362,1.708,1671,27,0.929
753327333,4,1291,0.653,1028,21,1.625
806160108,2,2517,1.831,1336,30,1.143
709327383,6,1157,0.966,1207,21,0.909
806165208,5,1800,0.906,1178,27,0.929
708508758,2,0,1.047,692,16,0.6
784725333,4,680,1.608,931,18,1.571
811604133,3,1560,0.573,1126,23,0.353
789124683,4,0,1.075,1110,21,0.75
771071958,6,1669,0.797,1051,22,0.833
720466383,4,1374,0.921,1197,23,1.3
804424383,3,1010,0.843,1904,40,1.0
718813833,5,0,0.525,1052,18,1.571
806624208,6,1362,0.739,1045,38,0.9
778348233,3,1811,0.977,1038,25,2.571
712991808,2,1690,1.323,1596,26,1.6
709029408,4,2517,1.726,1589,24,1.667
788658483,5,1490,1.75,1411,28,1.0
787937058,6,1696,0.519,1291,24,0.714
715318008,4,1914,0.51,1407,43,0.483
713962233,6,2298,1.724,1877,37,1.176
785432733,2,0,0.865,966,22,1.2
715190283,3,886,1.32,1464,28,0.556
708300483,5,605,1.052,704,16,0.143
827111283,2,578,1.042,1109,28,0.474
758551608,4,2204,0.803,1347,28,0.556
773146383,3,2517,1.449,1756,33,1.2
778493808,5,0,1.214,1756,32,1.0
720572508,2,2055,0.977,1042,23,0.917
712661433,3,0,1.621,1444,28,1.333
789172683,6,1430,2.316,1741,27,0.588
738406533,3,2020,2.357,1719,27,1.7
799723908,4,1435,0.787,1217,27,0.8
771490833,5,1227,0.624,1140,40,0.6
720756708,6,1549,1.321,1878,30,1.143
779471883,2,808,0.997,705,19,0.9
711525033,3,2179,1.224,1946,38,1.923
712813458,4,2517,0.664,1414,35,0.25
714374133,1,0,1.041,602,15,0.364
717891558,6,2200,0.678,1052,32,0.6
716632758,2,2363,0.75,1295,40,0.6
768563658,4,1880,1.107,1424,29,1.417
711427458,4,978,2.275,1359,25,1.083
714091983,4,1753,0.69,1168,27,1.25
787584108,4,2016,0.901,1097,33,0.833
712030833,2,0,0.763,691,15,0.5
711481533,5,1251,0.944,1316,28,1.154
710082708,2,2102,0.997,1276,26,0.733
708155733,4,1634,0.989,1289,23,0.917
788979258,4,1515,0.592,1293,32,0.6
807986133,5,1817,0.62,1353,35,0.667
788730933,6,1468,1.004,1132,28,0.556
711314058,2,1107,1.715,1670,17,2.4
717975333,6,1330,1.072,837,15,2.0
715971108,3,1763,1.266,1550,41,1.05
720096558,5,1034,0.758,1540,36,0.286
719580033,4,2030,0.769,1256,21,0.4
